client_id,age,income,loan_amount,loan_term,credit_score,employment_years,married,num_children,education_level,default
135,18,22134895,15846767,57,630,25,1,1,3,0
136,22,7748035,15677441,40,442,19,1,1,3,1
137,43,6390020,12250117,11,839,6,1,0,3,0
138,31,4681719,1747419,44,577,21,0,2,3,0
139,56,19667911,10468532,57,532,3,1,0,2,0
140,44,14583038,6438684,28,828,12,1,1,1,0
141,26,19615977,23807705,30,389,12,0,1,3,0
142,32,24130041,23315019,55,791,9,0,3,3,0
143,32,11688053,3380932,48,498,17,1,4,1,0
144,43,10887324,2654753,24,661,16,0,1,1,0
145,59,13529677,14685039,10,740,19,0,0,1,0
146,30,22098343,9793380,56,325,19,0,0,1,0
147,49,21336488,17673742,16,324,12,0,4,1,0
148,56,17863509,11104107,17,693,16,1,4,1,0
149,49,21053322,1571107,15,806,21,0,3,2,0
150,21,18591661,28241230,13,600,3,0,2,1,0
151,47,8575716,17064554,29,638,0,0,0,1,1
152,54,4002324,11905942,33,566,0,1,4,2,1
153,40,8262105,3086213,46,760,14,1,0,1,0
154,56,14715629,21135725,41,755,12,0,4,3,0
155,62,8671318,20556715,42,659,16,0,1,3,1
156,32,19271808,11302330,26,367,23,1,0,1,0
157,60,13634494,25091050,13,711,25,0,1,2,0
158,46,15799990,12199468,14,790,7,0,0,3,0
159,53,5578226,9937492,52,348,17,1,2,2,1
160,30,24926247,2999254,20,401,26,0,3,3,0
161,49,4427540,6044842,53,515,12,0,1,1,0
162,24,20492846,27153295,51,737,22,1,4,2,0
163,39,2318408,5156532,45,458,13,1,2,2,1
164,45,10856884,7592910,23,788,7,0,0,2,0
165,19,12543305,6561112,47,541,7,1,1,3,0
166,59,21894388,27867491,25,304,26,0,0,3,0
167,62,11272985,23160074,11,660,25,0,0,3,1
168,23,23012258,22794866,17,758,14,0,0,1,0
169,45,3898739,24965454,7,547,26,1,3,3,1
170,45,19794649,8909699,12,721,12,1,3,1,0
171,61,6661029,21394772,21,314,6,0,4,2,1
172,61,13149697,12255948,8,421,4,0,1,2,0
173,37,22455302,1258517,50,576,16,1,2,1,0
174,47,15757649,10745741,8,752,27,1,2,3,0
175,28,20358746,7428540,32,689,24,1,2,1,0
176,45,15427105,1705475,55,593,28,0,0,2,0
177,42,20864474,16560243,48,745,15,1,3,2,0
178,56,6856447,26913837,45,509,22,1,1,1,1
179,50,8857658,12177498,43,601,1,0,0,3,0
180,18,2996530,27417902,38,522,21,0,3,3,1
181,44,21378839,5338843,33,302,17,0,3,1,0
182,30,8231219,1424226,6,817,16,1,1,1,0
183,58,22886213,13056199,13,392,29,0,1,3,0
184,20,13292148,29433551,42,819,6,0,1,2,1
185,56,5364695,16843433,37,727,12,0,0,1,1
186,23,14966064,5117923,53,792,17,0,4,3,0
187,25,12580030,29768925,48,534,28,1,1,3,1
188,44,19822698,23390417,42,460,13,0,4,2,0
189,26,7786265,7303745,9,630,29,1,0,2,0
190,54,24685851,1698956,35,632,17,1,4,2,0
191,50,9487345,13290137,11,349,12,1,2,2,0
192,59,2570451,21180312,51,822,10,0,4,2,1
193,61,2967344,7278602,59,791,20,1,1,1,1
194,41,13243667,26920774,24,571,29,0,0,3,1
195,32,4412149,7143326,37,551,20,0,1,1,0
196,49,7398869,1175211,14,389,15,0,2,1,0
197,49,18405566,8519817,17,745,22,1,1,1,0
198,41,22129468,13481574,16,631,16,0,1,1,0
199,58,22510055,8412620,51,438,7,0,1,1,0
200,29,11427504,22035166,21,656,18,0,3,2,0
201,56,13686214,26431622,6,573,19,1,2,2,1
202,19,9022336,27696638,50,318,14,1,1,3,1
203,20,24546143,23825271,58,610,8,1,1,1,0
204,54,21655820,19660592,26,453,19,0,1,3,0
205,34,23105074,21668329,35,689,9,1,0,2,0
206,19,14485559,24798204,18,559,11,0,3,2,0
207,19,10652831,29186921,39,424,20,0,0,2,1
208,45,15691164,16848375,9,653,22,1,3,1,0
209,40,24761900,9544291,33,572,19,0,1,1,0
210,54,13707868,12392083,43,544,29,1,2,2,0
211,49,16246173,5730741,36,749,0,0,4,3,0
212,50,4694287,6605126,32,546,24,1,4,3,0
213,18,12055079,14952821,10,819,19,0,1,2,0
214,36,8511634,15394752,30,440,8,0,0,3,1
215,19,15781009,28153579,8,661,21,0,2,2,0
216,61,23398272,19683255,38,307,14,0,3,3,0
217,43,10976973,14149868,9,777,0,0,1,2,0
218,49,15407602,2455465,30,651,11,1,2,3,0
219,23,2703662,13581422,25,794,2,0,2,1,1
220,49,20082801,27159994,39,726,10,1,3,2,0
221,21,6092097,12098252,31,338,1,1,2,2,1
222,28,15769205,1211830,10,486,15,1,0,3,0
223,34,16013403,23216597,40,392,8,0,0,2,0
224,55,21436656,29728437,33,385,14,0,0,2,0
225,41,11988209,6987029,34,343,11,0,2,2,0
226,22,22720861,7516616,14,436,0,1,0,1,0
227,51,23272229,21106265,57,720,12,0,3,1,0
228,23,8094467,5755976,43,373,13,0,2,3,0
229,39,11623424,26687822,55,847,24,1,4,1,1
230,28,12353564,7897673,11,811,24,1,2,3,0
231,33,24294582,13448727,24,455,7,1,3,1,0
232,50,5448678,21523385,49,554,7,1,4,3,1
233,26,15942402,7002296,16,470,26,1,2,1,0
234,23,23988809,17852604,7,469,29,1,0,1,0
235,33,16493549,7810183,52,621,11,0,1,3,0
236,46,15490337,19552983,49,755,0,1,1,2,0
237,20,12669435,8983823,49,454,10,0,0,2,0
238,37,18642016,9373296,14,648,7,0,1,1,0
239,53,10370262,11718361,26,750,9,0,1,3,0
240,36,12174518,25245082,29,472,29,1,0,2,1
241,43,18541471,23271555,39,309,18,0,0,3,0
242,20,23623985,6877809,27,564,10,1,2,2,0
243,36,13484508,24173783,8,737,6,1,2,3,0
244,37,9449607,10886226,17,546,10,0,0,1,0
245,49,17713088,9002619,33,845,16,1,3,3,0
246,24,22820280,15978249,35,798,0,0,1,2,0
247,58,15839094,21798296,31,428,25,0,2,1,0
248,50,18701250,8667857,53,626,28,1,1,3,0
249,57,21380183,5428690,26,703,20,0,4,2,0
250,56,5438550,29655267,33,658,20,0,0,1,1
251,35,2076218,6439433,31,316,7,0,3,3,1
252,57,19547260,28724768,38,573,22,1,4,2,0
253,18,7579079,9889782,26,415,23,0,4,3,0
254,28,12935349,3881777,40,390,5,1,4,3,0
255,45,16318328,20526212,57,381,21,1,0,1,0
256,42,15061358,17972462,39,623,17,0,2,1,0
257,40,21962930,4696176,46,413,5,0,0,2,0
258,48,20505312,11732002,56,357,4,1,2,1,0
259,47,10736347,9899691,52,453,12,1,4,2,0
260,59,18354286,15697697,23,703,18,0,4,3,0
261,52,10860935,18789600,16,565,21,0,3,3,0
262,24,4694946,25920694,28,614,7,1,2,2,1
263,33,6229215,18644180,53,340,8,1,4,3,1
264,43,20699351,9437712,27,404,16,1,1,1,0
265,19,17105101,29222101,22,492,2,1,3,3,1
266,18,9021855,1863663,10,700,18,1,0,1,0
267,29,19755255,6783182,49,577,10,0,3,2,0
268,22,11288493,16821218,16,653,23,1,1,2,0
269,54,10997354,24757787,35,555,16,1,2,3,1
270,49,9352207,14147590,20,398,20,0,0,3,1
271,26,19277092,23111754,32,581,18,0,0,1,0
272,58,3962165,24126665,40,702,1,1,2,1,1
273,52,9985620,2206861,38,408,7,1,3,3,0
274,36,2611213,4119612,25,498,18,0,4,3,0
275,33,19545950,17179640,21,602,6,1,3,2,0
276,20,17794998,20668221,39,626,27,1,1,2,0
277,37,6241361,5936600,7,453,26,0,4,2,0
278,41,24288390,15648065,40,704,16,1,3,3,0
279,50,3839433,5736319,45,761,5,0,2,3,0
280,41,8569632,16578914,33,431,18,0,1,3,1
281,28,22449430,15160134,52,383,23,0,1,2,0
282,25,20803796,18034897,44,698,5,0,1,3,0
283,53,15291666,26259842,11,408,27,1,4,1,1
284,55,9507324,23406697,14,520,1,0,0,3,1
285,57,8202258,28164021,25,667,5,1,4,3,1
286,37,23116451,3054780,6,446,22,1,3,3,0
287,52,11880860,29605606,13,411,4,1,0,3,1
288,42,5526737,25768424,28,793,18,1,3,3,1
289,52,10790529,22200624,8,804,19,1,0,1,0
290,42,20786176,1842186,9,774,3,0,4,1,0
291,46,23232430,23129943,30,570,21,0,1,3,0
292,35,8918889,15578363,52,720,25,0,2,2,0
293,63,22593662,27659117,43,666,16,0,1,3,0
294,35,22153729,11939922,20,579,10,1,4,3,0
295,19,17823554,8116355,26,582,3,0,0,3,0
296,52,20715094,25003801,40,339,25,1,1,2,0
297,33,14790902,6538917,58,488,12,1,4,2,0
298,58,12473867,2124905,58,463,19,0,3,2,0
299,53,12864147,4105958,51,835,25,0,2,1,0
300,50,8193956,6559277,57,835,16,0,1,2,0
301,21,15579173,21035300,19,303,8,0,0,1,1
302,50,3705215,16315296,41,589,3,1,3,1,1
303,31,24214365,9593059,17,732,22,1,4,2,0
304,38,16529416,19757506,22,770,27,0,2,2,0
305,37,9271476,12812936,44,480,13,1,0,2,0
306,25,5266402,14138567,14,547,18,1,4,1,1
307,24,15489651,1403322,40,578,25,1,4,3,0
308,20,22886096,15748072,18,553,27,0,1,2,0
309,34,7499593,22088012,20,480,2,1,1,2,1
310,50,16072989,15752304,23,808,13,0,0,2,0
311,29,15126263,17055099,56,625,7,0,4,1,0
312,39,6261946,22958273,38,656,23,1,1,1,1
313,39,18867309,24794619,11,690,26,1,2,3,0
314,63,11944790,15952964,32,384,27,0,2,2,0
315,47,14800127,5077716,28,616,0,1,4,1,0
316,55,12392287,24718663,32,511,9,1,1,3,1
317,55,16338768,22814501,39,814,17,0,0,2,0
318,62,3732465,11479153,51,683,15,0,0,1,1
319,25,21950800,2908802,43,641,7,0,0,2,0
320,44,15109773,8334901,19,337,0,0,2,2,0
321,44,13045415,19325291,41,810,11,1,1,1,0
322,51,17175617,18271164,58,719,7,1,1,1,0
323,38,4859244,17035897,13,468,23,0,2,1,1
324,47,19663256,21946178,40,642,15,0,0,2,0
325,50,2322918,13132693,24,605,17,0,0,2,1
326,45,21023125,24297861,35,841,3,1,4,3,0
327,64,2116739,24467137,19,836,5,0,3,2,1
328,50,11675193,9383190,25,411,11,1,1,1,0
329,22,11168924,15931115,54,710,26,0,1,2,0
330,36,17985249,25005377,30,505,8,0,1,3,0
331,21,17016740,16329893,45,484,14,0,3,3,0
332,52,13878474,14296848,29,681,15,1,4,1,0
333,34,11755461,15143266,19,795,23,1,3,1,0
334,61,3014929,18557857,31,678,11,1,0,3,1
335,45,4420564,5466134,43,346,23,0,0,3,0
336,47,12971177,19331421,28,827,22,1,1,3,0
337,46,4653093,24384179,27,803,13,1,2,1,1
338,63,22080673,24428359,53,321,12,0,1,3,0
339,23,14811416,11093205,24,512,24,0,2,3,0
340,52,24666213,13154297,51,609,1,1,3,1,0
341,58,8944121,20328547,56,571,2,1,0,2,1
342,54,8238795,4127748,8,501,25,1,2,2,0
343,41,16157398,15722892,47,331,23,1,3,3,0
344,46,23544564,10223644,24,742,29,0,0,2,0
345,63,15672297,11758430,14,461,21,0,2,2,0
346,48,19493972,21778286,33,553,9,0,1,2,0
347,52,8790968,25142840,25,820,8,1,1,2,1
348,50,5751198,28554102,50,779,25,1,1,3,1
349,38,17732903,20661007,12,309,19,0,3,2,0
350,49,5138145,14863529,19,804,7,0,1,2,1
351,40,3226476,13569021,14,735,9,1,4,1,1
352,50,6184056,4496605,24,410,18,1,0,3,0
353,20,10960820,22725816,52,452,2,0,3,1,1
354,35,17016390,7416438,57,401,23,0,1,1,0
355,42,14807049,27471311,19,490,4,0,0,3,1
356,59,3500844,6311499,43,380,2,1,2,2,1
357,48,11317776,17413328,58,788,25,1,1,1,0
358,20,22220825,18085839,41,387,26,1,0,3,0
359,57,3400283,4647371,45,493,15,1,4,2,0
360,63,24704829,21074119,22,403,16,1,2,3,0
361,41,16142073,28433939,35,395,14,1,4,1,1
362,49,2691757,27356226,14,722,2,0,0,2,1
363,64,2390719,23775439,38,497,11,0,4,2,1
364,39,11916545,2147116,57,300,8,1,0,3,0
365,40,11538555,12345174,30,706,20,0,0,2,0
366,19,17713642,4772763,19,677,11,1,4,1,0
367,44,22115136,24255666,16,466,25,0,0,1,0
368,59,22073266,18087591,58,808,14,1,1,1,0
369,19,20895540,19903669,40,612,1,0,0,3,0
370,43,8827299,2271300,46,717,22,0,3,2,0
371,34,15579033,13048339,19,776,17,1,0,2,0
372,57,6902666,23015847,35,372,19,1,3,2,1
373,50,19653247,13776695,46,440,11,0,0,1,0
374,26,8232739,4842411,9,561,22,0,0,2,0
375,60,3270896,7310208,9,639,3,1,4,1,1
376,56,13952314,27181240,33,607,22,0,1,2,1
377,46,3059622,23904980,13,544,15,1,1,1,1
378,59,6422375,28480005,7,814,22,1,2,2,1
379,43,18770274,14687761,46,636,15,0,4,3,0
380,52,19155381,29570055,51,375,0,1,4,3,1
381,42,6131479,23636262,27,474,21,0,1,1,1
382,41,11400725,23811423,46,408,24,0,4,1,1
383,30,19192224,12654304,21,482,1,1,1,2,0
384,24,20409209,25718095,34,491,29,0,4,2,0
385,53,5351278,4341861,54,364,2,1,0,3,0
386,62,21119251,14116915,53,773,25,1,1,2,0
387,37,7703394,25136417,35,399,20,1,1,1,1
388,18,21545578,3615804,17,843,24,0,3,1,0
389,25,13415376,22089933,40,427,19,1,4,1,1
390,63,19947581,2982243,16,751,16,0,4,1,0
391,33,11068026,27857952,51,668,19,1,1,1,1
392,31,15283692,4413654,55,342,21,1,0,3,0
393,29,24708377,23763633,26,718,20,1,0,3,0
394,40,23628404,25640236,26,787,29,0,0,1,0
395,32,4721864,4270209,10,377,28,0,4,2,0
396,45,22724424,26381224,53,569,0,1,3,1,0
397,51,8984720,8323988,25,614,19,1,1,3,0
398,19,16189784,12045633,42,467,5,0,2,1,0
399,49,9733308,21101880,8,638,28,0,3,3,1
400,40,5875754,9210880,49,492,14,0,2,3,0
401,39,21482215,4594058,38,752,25,1,3,1,0
402,42,24075433,22361474,58,582,25,0,0,1,0
403,39,20101286,28301043,14,635,13,1,4,2,0
404,39,12912996,27912445,14,689,19,0,2,3,1
405,59,12047595,9117654,9,824,14,1,3,2,0
406,23,24564965,21989593,40,539,13,1,4,1,0
407,32,20439009,27410449,22,782,24,1,2,3,0
408,60,8576651,1233782,39,757,20,0,1,2,0
409,54,8867218,24683333,29,388,23,0,3,2,1
410,50,11004644,23889890,37,394,24,0,1,2,1
411,25,13780026,22586325,6,751,25,1,0,1,0
412,61,15963258,21512682,13,727,4,1,1,1,0
413,61,6987696,19360462,50,450,5,0,1,1,1
414,22,19206204,18503547,28,813,16,1,3,3,0
415,56,6084752,2794291,52,675,10,1,0,1,0
416,21,23152073,24130601,45,321,15,1,1,3,0
417,23,15143608,5952075,17,612,11,0,4,2,0
418,62,4977590,4898606,59,818,14,1,2,2,0
419,49,5297291,29148272,17,505,22,0,1,1,1
420,47,14191037,3878117,51,674,3,0,0,2,0
421,64,23671503,22258833,52,750,26,0,1,1,0
422,52,4490706,13670380,20,478,17,0,2,3,1
423,57,10047252,25151842,46,509,20,0,0,2,1
424,33,7254224,11431645,24,799,27,1,3,1,0
425,30,12880726,13774615,31,763,2,0,0,2,0
426,59,24992356,6287913,57,423,21,0,3,2,0
427,47,22515189,4733149,34,412,7,0,0,1,0
428,36,20979791,12476429,27,311,22,1,2,2,0
429,34,19241287,6316741,45,425,2,1,2,2,0
430,36,23158353,3804802,26,630,7,1,0,2,0
431,45,23689432,5157263,56,582,17,1,1,2,0
432,43,12563214,5488198,43,439,9,0,2,3,0
433,54,16143385,27779149,25,700,24,0,3,2,0
434,43,22275688,13001352,34,396,19,1,3,2,0
435,40,3564718,10515406,56,816,16,1,4,1,1
436,26,23916959,20510676,9,368,7,1,3,3,0
437,29,12523401,8084609,12,417,22,1,4,1,0
438,18,11991183,23993754,33,358,10,0,0,1,1
439,18,16488262,21892578,33,332,28,1,0,1,0
440,64,5813270,11091985,9,617,4,1,0,3,1
441,51,6806425,19029773,27,349,25,1,1,1,1
442,49,21156053,12720657,17,788,12,1,1,1,0
443,42,8123769,2490687,50,318,20,1,4,1,0
444,57,3524102,14070601,8,496,22,1,3,2,1
445,62,13579149,10311768,27,749,4,1,3,1,0
446,18,16324046,21834241,49,751,23,0,0,3,0
447,33,11052788,12991292,7,588,26,0,2,3,0
448,56,21160582,12336501,29,440,12,0,1,2,0
449,22,4035848,6272864,39,383,5,0,1,3,1
450,39,23900146,4788963,32,690,28,0,0,3,0
451,46,12828463,21652126,46,514,4,0,1,2,0
452,20,11913841,12540237,6,825,8,1,0,1,0
453,29,14356830,28425600,13,514,26,1,4,2,1
454,43,13457501,21145261,28,702,15,0,3,1,0
455,33,2838003,6185773,43,427,1,1,2,1,1
456,54,5433382,13728700,11,776,0,0,3,3,1
457,39,10670178,22609907,27,703,7,1,3,2,1
458,46,5395049,12021186,30,328,27,1,4,3,1
459,31,18843366,1968616,23,637,18,1,1,3,0
460,45,9429645,21994949,22,660,29,1,2,1,1
461,22,12822814,25691736,17,691,10,1,1,3,1
462,64,24858903,10639564,11,517,27,1,3,2,0
463,47,16801890,2490036,31,501,11,0,0,3,0
464,63,16514363,20646945,32,316,11,0,3,3,0
465,22,21324716,25362375,13,621,6,1,1,1,0
466,29,11388162,8179156,24,817,25,0,3,2,0
467,33,6193060,11197985,47,624,12,1,0,3,0
468,43,18911271,27231747,6,711,26,0,4,1,0
469,43,17170521,11109464,34,617,7,1,1,3,0
470,38,14267883,26721934,50,381,28,0,3,2,1
471,56,11084966,10352771,54,773,28,1,1,3,0
472,53,13984398,8904428,40,767,21,0,4,3,0
473,50,3841648,12401147,45,724,27,1,3,1,1
474,47,9132508,15113803,19,503,25,0,3,3,0
475,54,16949772,21979487,40,686,29,1,1,1,0
476,40,5828433,21820095,53,397,8,1,1,2,1
477,27,21512480,13070495,50,644,6,1,0,3,0
478,22,15594639,3322523,25,507,25,0,4,2,0
479,53,23225964,27379085,54,813,20,0,0,2,0
480,51,9152747,5746771,18,465,23,0,3,3,0
481,48,16790081,9640145,43,321,14,1,1,1,0
482,27,6137270,19533340,54,453,1,0,3,2,1
483,36,6317922,18618747,51,738,22,1,3,2,1
484,49,14504233,1864645,54,594,19,0,2,3,0
485,18,3020154,2428127,13,518,24,0,2,3,0
486,22,6945169,22907292,48,794,11,0,3,3,1
487,62,8733215,9859690,25,529,0,0,1,3,0
488,21,14465759,11309885,38,319,22,1,3,3,0
489,33,10195810,5254849,31,447,21,0,2,3,0
490,41,9185197,8574587,44,407,7,0,1,1,0
491,33,8714301,24292566,26,702,4,1,3,2,1
492,19,13192304,16407570,58,782,14,1,4,1,0
493,45,17004124,16669534,54,666,0,0,4,1,0
494,49,16229748,29613618,47,713,0,0,3,3,1
495,44,15824747,9336900,48,608,24,1,1,2,0
496,37,12760888,19392993,59,433,9,1,3,1,0
497,41,13305231,29670729,46,582,21,1,3,3,1
498,29,13374857,4512664,14,372,9,0,2,3,0
499,52,17909784,15930561,29,780,20,0,4,2,0
500,50,3859582,1973181,42,651,14,0,2,1,0
501,50,15775236,12505418,54,625,16,1,2,1,0
502,60,20907101,19268849,46,742,21,1,3,1,0
503,54,16372528,14284604,22,399,5,1,2,3,0
504,29,6720642,10922462,29,358,2,0,4,2,1
505,20,15141133,3061774,26,807,12,1,2,2,0
506,18,2549239,3790358,56,557,15,0,4,1,0
507,50,7408753,21637778,44,712,7,1,2,3,1
508,57,21824785,29356488,46,751,29,0,4,1,0
509,27,15619492,7976610,44,364,14,0,2,2,0
510,60,15016728,19542740,18,453,16,1,2,3,0
511,61,18441775,19027848,16,565,16,0,1,1,0
512,46,11659072,7210715,51,378,21,1,4,1,0
513,30,19562548,28488445,24,614,25,0,4,3,0
514,29,16376941,26303302,16,547,12,1,4,2,0
515,48,2397710,21020303,18,713,16,1,0,3,1
516,63,8503216,18686927,51,324,5,0,2,1,1
517,19,6317048,4711584,50,583,16,1,4,1,0
518,52,16133434,7913283,6,748,15,0,0,1,0
519,40,21965945,2619715,45,600,13,1,1,1,0
520,34,6785956,20367526,49,367,12,1,4,2,1
521,43,23882940,11016295,24,306,5,1,4,2,0
522,25,7025764,7314768,17,436,2,1,0,1,0
523,46,16918570,27126436,13,463,13,0,2,2,0
524,43,13238779,26101670,13,382,13,1,1,2,1
525,27,17110853,9815995,58,719,14,1,4,2,0
526,43,19687991,7726451,50,372,7,0,2,1,0
527,51,7954878,9064220,17,536,28,0,1,3,0
528,58,24705213,29812083,53,345,14,0,3,3,0
529,24,19336140,16478907,38,561,21,0,3,3,0
530,21,22658401,19321829,50,475,28,0,1,1,0
531,62,14762264,19074854,31,465,26,0,0,2,0
532,28,7004998,24912113,44,669,12,1,1,2,1
533,46,12679043,25525886,33,353,16,0,1,1,1
534,53,23943866,14018596,10,718,20,1,0,1,0
535,42,15497927,17285299,13,806,23,0,0,3,0
