cust_num,monthly_income,existing_monthly_debt,monthly_payment,debt_to_income_ratio,debt_service_ratio,payment_to_income_ratio,credit_utilization,revolving_balance,credit_usage_amount,available_credit,total_monthly_debt_payment,annual_debt_payment,loan_to_annual_income,total_debt_amount,monthly_free_cash_flow
10022,1666.67,612.35,240.0,0.511,0.51141,0.14400000000000002,0.186,2827.2,2827.2,12372.8,852.35,10228.2,0.4,10827.2,814.3166666666667
10023,3383.33,988.87,1440.1,0.718,0.717922167487684,0.426,0.518,18907.0,18907.0,17593.0,2428.97,29147.64,5.440886699507389,239807.0,954.3633333333336
10024,3092.0,1042.85,2309.95,1.084,1.084463611859838,0.747,0.404,19553.6,19553.6,28846.4,3352.8,40233.6,0.700808625336927,45553.6,-261.1333333333332
10025,1866.67,297.33,578.12,0.46900000000000003,0.46899107142857105,0.31,0.487,12759.4,12759.4,13440.6,875.45,10505.4,1.129464285714285,38059.4,991.22
10026,4742.0,1100.92,684.55,0.377,0.37654903339191503,0.14400000000000002,0.22,25388.0,25388.0,90012.0,1785.47,21425.64,2.107205623901581,145288.0,2956.2
10027,4883.33,724.67,1305.04,0.41600000000000004,0.41564027303754203,0.267,0.378,29521.8,29521.8,48578.2,2029.71,24356.52,0.47098976109215,57121.8,2853.623333333333
10028,3000.0,683.81,255.0,0.313,0.31293666666666603,0.085,0.773,45916.2,45916.2,13483.8,938.81,11265.72,0.23611111111111102,54416.2,2061.19
10029,2633.33,755.9,179.28,0.355,0.35513164556962,0.068,0.504,15220.8,15220.8,14979.2,935.18,11222.16,0.174050632911392,20720.8,1698.15
10030,1667.0,656.5,1215.64,1.123,1.123284,0.729,0.656,27289.6,27289.6,14310.4,1872.14,22465.68,1.7850000000000001,62989.6,-205.47
10031,11016.67,3010.02,405.0,0.31,0.309986686838124,0.037,0.136,19611.2,19611.2,124588.8,3415.02,40980.24,0.10211800302571801,33111.2,7601.646666666666
10032,4008.33,837.06,1859.29,0.673,0.67268607068607,0.464,0.61,38369.0,38369.0,24531.0,2696.35,32356.2,0.43451143451143404,59269.0,1311.98
10033,7092.0,616.41,443.55,0.149,0.149465569917743,0.063,0.092,20166.4,20166.4,199033.6,1059.96,12719.52,0.23266745005875403,39966.4,6031.71
10034,9633.33,2619.96,356.82,0.309,0.30900830449826905,0.037,0.247,35222.2,35222.2,107377.8,2976.78,35721.36,0.11851211072664301,48922.2,6656.55
10035,1992.0,262.89,3295.09,1.786,1.786433472803347,1.654,0.32,9056.0,9056.0,19244.0,3557.98,42695.76,18.98744769874477,462856.0,-1566.31
10036,1691.67,469.86,3905.25,2.586,2.586271921182265,2.309,0.593,32140.6,32140.6,22059.4,4375.11,52501.31999999999,31.44334975369458,670440.6,-2683.44
10037,1666.67,379.68,1306.51,1.012,1.011714,0.784,0.24,7920.0,7920.0,25080.0,1686.19,20234.28,9.225,192420.0,-19.52
10038,3183.33,616.83,192.0,0.254,0.254082722513089,0.06,0.40900000000000003,11615.6,11615.6,16784.4,808.83,9705.96,0.167539267015706,18015.6,2374.5033333333336
10039,1850.0,203.56,216.0,0.227,0.22678918918918903,0.117,0.224,4816.0,4816.0,16684.0,419.56,5034.72,0.324324324324324,12016.0,1430.44
10040,1667.0,531.74,261.0,0.47600000000000003,0.47564399999999996,0.157,0.218,6518.2,6518.2,23381.8,792.74,9512.88,0.435,15218.2,873.93
10041,1666.67,554.58,2222.3,1.666,1.666128,1.333,0.422,19623.0,19623.0,26877.0,2776.88,33322.56,15.495,329523.0,-1110.21
10042,5650.0,295.56,2235.52,0.448,0.44797876106194606,0.396,0.299,49634.0,49634.0,116366.0,2531.08,30372.96,4.941002949852507,384634.0,3118.92
10043,8566.67,956.18,486.0,0.168,0.16834785992217902,0.057,0.28400000000000003,83865.2,83865.2,211434.8,1442.18,17306.159999999996,0.157587548638132,100065.2,7124.49
10044,2492.0,492.21,384.0,0.352,0.35165618729096904,0.154,0.361,21046.3,21046.3,37253.7,876.21,10514.52,0.42809364548494905,33846.3,1615.46
10045,4083.33,858.96,2106.27,0.726,0.726178775510204,0.516,0.534,61623.6,61623.6,53776.4,2965.23,35582.76,7.208163265306123,414823.6,1118.1
10046,2408.33,714.29,1697.58,1.001,1.001468512110726,0.705,0.549,26681.4,26681.4,21918.6,2411.87,28942.44,0.667820069204152,45981.4,-3.54
10047,3333.0,603.25,1782.05,0.716,0.7155900000000001,0.535,0.451,35132.9,35132.9,42767.1,2385.3,28623.6,4.8,227132.9,948.03
10048,1775.0,235.38,1796.4,1.145,1.144664788732394,1.012,0.729,9331.2,9331.2,3468.8,2031.78,24381.36,11.615023474178404,256731.2,-256.7800000000002
10049,5592.0,1334.08,108.0,0.258,0.257898062593144,0.019,0.585,60021.0,60021.0,42579.0,1442.08,17304.96,0.05365126676602001,63621.0,4149.586666666667
10050,3125.0,747.04,1910.08,0.85,0.8502784,0.611,0.673,46975.4,46975.4,22824.6,2657.12,31885.44,5.093333333333334,237975.4,467.88
10051,5975.0,829.3,429.0,0.211,0.21059414225941403,0.07200000000000001,0.587,54297.5,54297.5,38202.5,1258.3,15099.6,0.19944211994421202,68597.5,4716.7
10052,2066.67,811.53,102.0,0.442,0.44203064516129004,0.049,0.47400000000000003,8958.6,8958.6,9941.4,913.53,10962.36,0.13709677419354802,12358.6,1153.14
10053,5083.0,983.21,1223.14,0.434,0.43403606557377006,0.241,0.561,63617.4,63617.4,49782.6,2206.35,26476.200000000004,0.588524590163934,99517.4,2876.98
10054,8216.67,1672.35,767.47,0.297,0.296935496957403,0.093,0.506,47968.8,47968.8,46831.2,2439.82,29277.84,0.29918864097363,77468.8,5776.85
10055,3258.0,813.3,1115.02,0.592,0.591811764705882,0.342,0.30000000000000004,37020.0,37020.0,86380.0,1928.32,23139.84,4.544757033248082,214720.0,1330.01
10056,3825.0,1211.59,445.78,0.433,0.43329934640522805,0.117,0.355,31027.0,31027.0,56373.0,1657.37,19888.44,0.376906318082788,48327.0,2167.63
10057,1666.67,261.91,123.0,0.231,0.23094599999999998,0.074,0.462,22222.2,22222.2,25877.8,384.91,4618.92,0.20500000000000002,26322.2,1281.76
10058,1666.67,326.52,811.33,0.683,0.682709999999999,0.487,0.403,21802.3,21802.3,32297.7,1137.85,13654.2,1.23,46402.3,528.82
10059,5116.67,542.92,163.57,0.138,0.138076221498371,0.032,0.29,29232.0,29232.0,71568.0,706.49,8477.880000000001,0.100977198697068,35432.0,4410.176666666667
10060,4141.67,1562.55,219.0,0.43,0.43015291750503004,0.053,0.327,22563.0,22563.0,46437.0,1781.55,21378.6,0.146881287726358,29863.0,2360.12
10061,1775.0,367.25,2109.3,1.395,1.395239436619718,1.188,0.188,11355.2,11355.2,49044.8,2476.55,29718.6,15.948356807511738,351055.2,-701.55
10062,3292.0,985.75,777.77,0.536,0.535752911392405,0.23600000000000002,0.359,25560.8,25560.8,45639.2,1763.52,21162.24,3.744303797468354,173460.8,1528.15
10063,2841.67,536.55,1882.59,0.851,0.8513102639296181,0.662,0.065,2112.5,2112.5,30387.5,2419.14,29029.68,10.70674486803519,367212.5,422.53
10064,1950.0,713.86,2533.54,1.665,1.6653333333333329,1.299,0.5690000000000001,33343.4,33343.4,25256.6,3247.4,38968.8,11.658119658119658,306143.4,-1297.4
10065,8691.67,3272.77,493.32,0.433,0.43329894534995206,0.057,0.43,92923.0,92923.0,123177.0,3766.09,45193.08,0.145733461169702,108123.0,4925.576666666666
10066,6958.0,731.93,523.12,0.18,0.180366467065868,0.075,0.321,51135.3,51135.3,108164.7,1255.05,15060.6,0.19640718562874201,67535.3,5703.283333333333
10067,3375.0,712.34,335.28,0.31,0.31040592592592503,0.099,0.586,22385.2,22385.2,15814.8,1047.62,12571.44,0.323456790123456,35485.2,2327.38
10068,2308.33,458.23,1158.76,0.7010000000000001,0.70050108303249,0.502,0.279,7002.9,7002.9,18097.1,1616.99,19403.88,6.7797833935018055,194802.9,691.34
10069,1667.0,468.89,192.0,0.397,0.396534,0.115,0.739,42049.1,42049.1,14850.9,660.89,7930.68,0.32,48449.1,1005.7766666666668
10070,2483.0,897.89,2115.91,1.214,1.213610738255033,0.852,0.838,56648.8,56648.8,10951.2,3013.8,36165.6,8.895973154362416,321748.8,-530.47
10071,4683.33,1458.74,316.15,0.379,0.37898007117437704,0.068,0.389,62979.1,62979.1,98920.9,1774.89,21298.68,0.21708185053380702,75179.1,2908.44
10072,2600.0,751.03,1002.09,0.674,0.6742769230769231,0.385,0.667,55961.3,55961.3,27938.7,1753.12,21037.44,0.669871794871794,76861.3,846.88
10073,3108.33,863.16,2038.31,0.933,0.9334487935656831,0.656,0.618,60811.2,60811.2,37588.8,2901.47,34817.64,10.179624664879357,440511.2,206.86333333333369
10074,3550.0,683.23,1870.09,0.719,0.719245070422535,0.527,0.65,87230.0,87230.0,46970.0,2553.32,30639.84,7.032863849765258,386830.0,996.6800000000004
10075,2291.67,523.48,1437.3,0.856,0.8556130909090911,0.627,0.394,9968.2,9968.2,15331.8,1960.78,23529.36,8.985454545454546,257068.2,330.89
10076,3166.67,329.34,402.0,0.231,0.23094947368421,0.127,0.097,6576.6,6576.6,61223.4,731.34,8776.079999999998,0.352631578947368,19976.6,2435.33
10077,7133.33,1048.99,90.0,0.16,0.159671495327102,0.013000000000000001,0.298,46279.4,46279.4,109020.6,1138.99,13667.88,0.035046728971962,49279.4,5994.343333333333
10078,8358.33,3303.51,2140.73,0.651,0.651354735792622,0.256,0.558,132915.6,132915.6,105284.4,5444.24,65330.88,3.334995014955134,467415.6,2914.09
10079,5767.0,1424.72,1059.96,0.431,0.430869364161849,0.184,0.131,22165.2,22165.2,147034.8,2484.68,29816.160000000003,0.6040462427745661,63965.2,3281.99
10080,2841.67,296.95,417.0,0.251,0.25124340175953,0.147,0.616,27104.0,27104.0,16896.0,713.95,8567.400000000001,0.407624633431085,41004.0,2127.72
10081,4100.0,1589.03,223.18,0.442,0.44200243902439,0.054,0.7000000000000001,31080.0,31080.0,13320.0,1812.21,21746.52,0.134146341463414,37680.0,2287.79
10082,4725.0,1236.04,432.0,0.353,0.353024338624338,0.091,0.254,45923.2,45923.2,134876.8,1668.04,20016.48,0.253968253968253,60323.2,3056.96
10083,2900.0,824.46,174.34,0.34400000000000003,0.34441379310344805,0.06,0.303,21028.2,21028.2,48371.8,998.8,11985.6,0.22988505747126403,29028.2,1901.2
10084,8350.0,1897.43,611.88,0.301,0.30051616766467004,0.073,0.51,110160.0,110160.0,105840.0,2509.31,30111.72,1.315369261477045,241960.0,5840.69
10085,1991.67,576.89,252.0,0.41600000000000004,0.41617907949790706,0.127,0.485,30312.5,30312.5,32187.5,828.89,9946.68,0.35146443514644304,38712.5,1162.78
10086,4692.0,665.94,534.0,0.256,0.255759857904085,0.114,0.443,16701.1,16701.1,20998.9,1199.94,14399.28,0.31616341030195305,34501.1,3491.73
10087,1725.0,327.84,2188.14,1.459,1.4585391304347821,1.268,0.195,3373.5,3373.5,13926.5,2515.98,30191.76,14.942028985507246,312673.5,-790.98
10088,1875.0,416.76,262.02,0.362,0.362016,0.14,0.766,33091.2,33091.2,10108.8,678.78,8145.36,0.44,42991.2,1196.22
10089,11675.0,1941.27,225.0,0.186,0.18554775160599501,0.019,0.43,47085.0,47085.0,62415.0,2166.27,25995.24,0.053533190578158,54585.0,9508.73
10090,1666.67,452.5,621.82,0.645,0.6445919999999999,0.373,0.549,22783.5,22783.5,18716.5,1074.3200000000002,12891.840000000002,0.935,41483.5,592.3466666666666
10091,1666.67,261.82,3756.59,2.411,2.411046,2.254,0.44,10780.0,10780.0,13720.0,4018.41,48220.920000000006,24.955,509880.0,-2351.74
10092,4541.67,1170.92,2827.63,0.88,0.8804146788990821,0.623,0.923,69409.6,69409.6,5790.399999999994,3998.55,47982.600000000006,9.311926605504587,576909.6,543.12
10093,1950.0,120.94,3538.48,1.877,1.8766256410256412,1.815,0.395,16787.5,16787.5,25712.5,3659.42,43913.04,18.726495726495727,454987.5,-1709.42
10094,8291.67,2007.42,787.92,0.337,0.337126432160804,0.095,0.548,106421.6,106421.6,87778.4,2795.34,33544.08,0.17085427135678302,123421.6,5496.33
10095,3392.0,742.87,452.13,0.352,0.35233415233415205,0.133,0.365,36025.5,36025.5,62674.5,1195.0,14340.0,0.42997542997543,53525.5,2196.67
10096,2375.0,661.42,171.87,0.35100000000000003,0.35085894736842105,0.07200000000000001,0.632,20350.4,20350.4,11849.6,833.29,9999.48,0.182456140350877,25550.4,1541.71
10097,4291.67,1301.01,189.0,0.34700000000000003,0.34718679611650405,0.044,0.254,31521.4,31521.4,92578.6,1490.01,17880.12,0.122330097087378,37821.4,2801.6566666666668
10098,7683.0,1698.87,360.0,0.268,0.267965726681128,0.047,0.629,138505.8,138505.8,81694.2,2058.87,24706.44,0.13015184381778702,150505.8,5624.46
10099,3991.67,323.75,2484.92,0.704,0.703633402922755,0.623,0.718,34464.0,34464.0,13536.0,2808.67,33704.04,11.340292275574113,577664.0,1183.0
10100,4575.0,1725.05,246.63,0.431,0.43096830601092806,0.054,0.466,60207.2,60207.2,68992.8,1971.68,23660.16,0.178506375227686,70007.2,2603.32
10101,1667.0,407.53,589.6,0.598,0.598278,0.354,0.267,7716.3,7716.3,21183.7,997.13,11965.56,0.63,20316.3,669.54
10102,2175.0,274.61,1004.93,0.588,0.5882942528735631,0.462,0.381,15887.7,15887.7,25812.3,1279.54,15354.48,1.164750957854406,46287.7,895.46
10103,5258.33,981.11,1317.76,0.437,0.437186053882725,0.251,0.603,125846.1,125846.1,82853.9,2298.87,27586.44,3.6862123613312203,358446.1,2959.46
10104,3867.0,197.41,234.0,0.112,0.111571551724137,0.061,0.305,21685.5,21685.5,49414.5,431.41,5176.92,0.16810344827586202,29485.5,3435.26
10105,11616.67,1649.3,457.7,0.181,0.18137733142037302,0.039,0.209,83641.8,83641.8,316558.2,2107.0,25284.0,0.552367288378766,160641.8,9509.67
10106,2225.0,370.82,677.26,0.47100000000000003,0.47104719101123504,0.304,0.531,30320.1,30320.1,26779.9,1048.08,12576.96,3.6029962546816483,126520.1,1176.92
10107,3375.0,999.46,354.35,0.401,0.40112888888888804,0.105,0.523,34622.6,34622.6,31577.4,1353.81,16245.72,0.266666666666666,45422.6,2021.19
10108,6475.0,780.02,1945.64,0.421,0.42095135135135103,0.30000000000000004,0.121,13370.5,13370.5,97129.5,2725.66,32707.92,4.079794079794079,330370.5,3749.34
10109,4808.33,1500.6,2554.85,0.843,0.8434211438474871,0.531,0.47400000000000003,78684.0,78684.0,87316.0,4055.45,48665.4,7.337954939341421,502084.0,752.88
10110,5591.67,1404.91,75.0,0.265,0.264663487332339,0.013000000000000001,0.329,19443.9,19443.9,39656.1,1479.91,17758.920000000002,0.03725782414307,21943.9,4111.76
10111,8041.67,2696.53,616.66,0.41200000000000003,0.41200290155440406,0.077,0.451,99265.1,99265.1,120834.9,3313.19,39758.28,0.135751295336787,112365.1,4728.476666666667
10112,14091.67,4024.44,126.0,0.295,0.29453151981076203,0.009000000000000001,0.74,121508.0,121508.0,42692.0,4150.44,49805.280000000006,0.024837374334713003,125708.0,9941.23
10113,1666.67,322.05,3178.86,2.101,2.100546,1.907,0.107,2856.9,2856.9,23843.1,3500.91,42010.920000000006,18.385,370556.9,-1834.24
10114,5600.0,1233.33,399.88,0.292,0.29164464285714203,0.07100000000000001,0.588,114248.4,114248.4,80051.6,1633.21,19598.52,0.184523809523809,126648.4,3966.79
10115,4058.33,1506.46,271.87,0.438,0.43819219712525603,0.067,0.528,29294.7,18902.4,16897.6,1778.33,21339.96,0.11704312114989701,24602.4,2280.0
10116,2558.0,566.74,2456.16,1.182,1.181589576547231,0.96,0.363,30201.6,30201.6,52998.4,3022.9,36274.8,11.342019543973942,378401.6,-464.57
10117,1666.67,524.76,327.0,0.511,0.511056,0.196,0.6980000000000001,14309.0,14309.0,6191.0,851.76,10221.12,0.545,25209.0,814.9066666666668
10118,1958.33,252.85,1361.57,0.8240000000000001,0.8243846808510631,0.6950000000000001,0.448,21100.8,21100.8,25999.2,1614.42,19373.04,10.38723404255319,265200.8,343.91
10119,3458.33,1126.26,282.0,0.40700000000000003,0.40720771084337304,0.082,0.92,65320.0,65320.0,5680.0,1408.26,16899.12,0.226506024096385,74720.0,2050.07
10120,3567.0,646.81,273.0,0.258,0.25789065420560703,0.077,0.513,32575.5,32575.5,30924.5,919.81,11037.72,0.212616822429906,41675.5,2646.86
10121,2625.0,261.22,600.57,0.328,0.328300952380952,0.229,0.368,8059.2,8059.2,13840.8,861.79,10341.48,2.387301587301587,83259.2,1763.21
10122,2866.67,1031.61,1206.09,0.781,0.780593023255813,0.421,0.337,30801.8,30801.8,60598.2,2237.7,26852.4,5.930232558139535,234801.8,628.97
10123,3116.67,204.49,396.0,0.193,0.192670588235294,0.127,0.521,16984.6,16984.6,15615.4,600.49,7205.88,0.35294117647058804,30184.6,2516.18
10124,3017.0,522.6,350.76,0.29,0.28951160220994404,0.116,0.28200000000000003,27946.2,27946.2,71153.8,873.36,10480.32,0.367403314917127,41246.2,2143.3066666666664
10125,7991.67,2595.93,1353.34,0.494,0.49417351407716303,0.169,0.586,58014.0,58014.0,40986.0,3949.27,47391.23999999999,2.75599582898853,322314.0,4042.396666666667
10126,7291.67,2556.99,452.76,0.41300000000000003,0.412765714285714,0.062,0.663,90764.7,90764.7,46135.3,3009.75,36117.0,0.23657142857142802,111464.7,4281.92
10127,5300.0,1338.66,1799.47,0.592,0.5921000000000001,0.34,0.07200000000000001,9518.4,9518.4,122681.6,3138.13,37657.56,4.322327044025157,284418.4,2161.87
10128,1666.67,548.76,270.0,0.491,0.491255999999999,0.162,0.317,14011.4,14011.4,30188.6,818.76,9825.12,0.45,23011.4,847.91
10129,2416.67,191.76,39.0,0.095,0.095486896551724,0.016,0.491,37414.2,37414.2,38785.8,230.76,2769.12,0.044827586206896,38714.2,2185.91
10130,2608.33,320.67,434.09,0.289,0.289364856230031,0.166,0.47900000000000004,24189.5,24189.5,26310.5,754.76,9057.12,0.421725239616613,37389.5,1853.57
10131,5233.33,1001.71,723.01,0.33,0.329564331210191,0.138,0.47400000000000003,53846.4,53846.4,59753.6,1724.72,20696.64,2.176751592356688,190546.4,3508.61
10132,4767.0,1694.13,989.31,0.5630000000000001,0.56295944055944,0.20800000000000002,0.537,26313.0,26313.0,22687.0,2683.44,32201.28,0.36538461538461503,47213.0,2083.23
10133,5775.0,833.29,488.87,0.229,0.228945454545454,0.085,0.667,38085.7,38085.7,19014.300000000003,1322.16,15865.919999999998,0.321789321789321,60385.7,4452.84
10134,3633.33,307.0,289.46,0.164,0.16416330275229302,0.08,0.375,48075.0,48075.0,80125.0,596.46,7157.52,0.19954128440366903,56775.0,3036.873333333333
10135,2025.0,734.03,472.69,0.596,0.5959111111111111,0.233,0.535,31565.0,31565.0,27435.0,1206.72,14480.64,0.716049382716049,48965.0,818.28
10136,4950.0,1185.61,432.0,0.327,0.326789898989898,0.08700000000000001,0.5740000000000001,111757.8,111757.8,82942.2,1617.61,19411.32,0.24242424242424201,126157.8,3332.3900000000003
10137,6975.0,997.91,3222.7,0.605,0.605105376344086,0.462,0.592,40078.4,40078.4,27621.6,4220.61,50647.31999999999,0.436081242532855,76578.4,2754.39
10138,4008.33,1206.87,264.0,0.367,0.36695301455301405,0.066,0.277,22797.1,22797.1,59502.9,1470.87,17650.44,0.18295218295218202,31597.1,2537.4633333333336
10139,4283.33,773.3,668.01,0.336,0.33649260700389105,0.156,0.187,28798.0,28798.0,125202.0,1441.31,17295.72,0.28015564202334603,43198.0,2842.02
10140,3808.0,871.98,384.6,0.33,0.329955361050328,0.101,0.428,22470.0,22470.0,30030.0,1256.58,15078.96,0.25601750547045904,34170.0,2551.75
10141,5125.0,1549.91,1005.12,0.499,0.49854243902439005,0.196,0.536,36072.8,36072.8,31227.2,2555.03,30660.36,0.505691056910569,67172.8,2569.97
10142,5100.0,353.57,700.38,0.20700000000000002,0.206656862745098,0.137,0.647,38431.8,38431.8,20968.2,1053.95,12647.4,1.9803921568627452,159631.8,4046.05
10143,4775.0,703.03,791.47,0.313,0.312984293193717,0.166,0.579,85286.7,85286.7,62013.3,1494.5,17934.0,0.42233856893542704,109486.7,3280.5
10144,5850.0,1543.26,360.0,0.325,0.325343589743589,0.062,0.359,27284.0,27284.0,48716.0,1903.26,22839.12,0.17094017094017,39284.0,3946.74
10145,4650.0,288.01,1672.41,0.422,0.42159569892473103,0.36,0.197,15858.5,15858.5,64641.5,1960.42,23525.04,3.718637992831541,223358.5,2689.58
10146,5408.33,1178.34,371.02,0.28600000000000003,0.286476425269645,0.069,0.464,56329.6,56329.6,65070.4,1549.36,18592.32,0.21879815100154001,70529.6,3858.973333333333
10147,2733.33,997.78,55.67,0.385,0.385408536585365,0.02,0.661,44881.9,44881.9,23018.1,1053.45,12641.4,0.06402439024390201,46981.9,1679.8833333333334
10148,4375.0,1043.47,610.45,0.378,0.378038857142857,0.14,0.885,35931.0,35931.0,4669.0,1653.92,19847.04,1.908571428571428,136131.0,2721.08
10149,8741.67,1029.91,388.51,0.162,0.16225967588179202,0.044,0.44,135608.0,135608.0,172592.0,1418.42,17021.04,0.11058150619637701,147208.0,7323.25
10150,2891.67,249.9,883.99,0.392,0.39212334293948103,0.306,0.088,2912.8,2912.8,30187.2,1133.89,13606.68,0.9682997118155621,36512.8,1757.78
10151,2966.67,496.04,2005.25,0.843,0.8431314606741571,0.676,0.153,8537.4,8537.4,47262.6,2501.29,30015.48,8.457865168539326,309637.4,465.38
10152,3000.0,992.26,1120.38,0.704,0.704213333333333,0.373,0.355,34186.5,34186.5,62113.5,2112.6400000000003,25351.680000000004,5.830555555555556,244086.5,887.36
10153,2791.67,506.9,291.0,0.28600000000000003,0.285814925373134,0.10400000000000001,0.177,4531.2,4531.2,21068.8,797.9,9574.8,0.28955223880597003,14231.2,1993.7666666666664
10154,2375.0,207.61,24.0,0.098,0.09752000000000001,0.01,0.5680000000000001,29024.8,29024.8,22075.2,231.61,2779.32,0.028070175438596003,29824.8,2143.39
10155,5608.33,1472.2,1815.52,0.586,0.5862205052005941,0.324,0.23800000000000002,34034.0,34034.0,108966.0,3287.72,39452.64,4.991084695393759,369934.0,2320.61
10156,6392.0,1059.78,838.92,0.297,0.297058670143415,0.131,0.762,81229.2,81229.2,25370.800000000003,1898.7,22784.4,1.395045632333767,188229.2,4492.966666666667
10157,6466.67,2062.58,1914.5,0.615,0.6150123711340201,0.296,0.376,61776.8,61776.8,102523.2,3977.08,47724.96,4.702319587628866,426676.8,2489.59
10158,1991.67,334.77,884.95,0.612,0.612411715481171,0.444,0.368,23000.0,23000.0,39500.0,1219.72,14636.64,5.870292887029288,163300.0,771.95
10159,4000.0,1561.38,2812.52,1.093,1.093475,0.7030000000000001,0.47200000000000003,47908.0,47908.0,53592.0,4373.9,52486.8,9.00625,480208.0,-373.8999999999997
10160,2516.67,338.81,213.0,0.219,0.21926225165562901,0.085,0.536,25888.8,25888.8,22411.2,551.81,6621.719999999999,0.23509933774834402,32988.8,1964.86
10161,2841.67,570.85,87.0,0.232,0.231501466275659,0.031,0.426,29095.8,29095.8,39204.2,657.85,7894.200000000001,0.08504398826979401,31995.8,2183.8166666666666
10162,3691.67,218.93,255.0,0.128,0.128378329571106,0.069,0.449,43104.0,43104.0,52896.0,473.93,5687.16,0.191873589164785,51604.0,3217.74
10163,3366.67,458.25,422.39,0.262,0.26157623762376203,0.125,0.597,30805.2,30805.2,20794.8,880.64,10567.68,0.46534653465346504,49605.2,2486.03
10164,3233.0,193.96,477.0,0.20800000000000002,0.207513402061855,0.148,0.24,17088.0,17088.0,54112.0,670.96,8051.52,0.409793814432989,32988.0,2562.37
10165,7992.0,543.58,1493.95,0.255,0.254956830031282,0.187,0.112,23004.8,23004.8,182395.2,2037.53,24450.36,2.399374348279457,253104.8,5954.14
